Pick up Date,Ref Number,Pick up location,Pick up State,Shipping Company,Ship Via,Deliver to,Dest. State,Region,DOA,Person requesting,Pallets,Est Cost
27-Sep,FFEAlaska09272019,FFE Solutions,Utah,Trans-Expedite,Air,doTERRA Alaska,Alaska,Alaska,30-Sep,Bryce Russell,1,"$1,825.71 "
18-Sep,4800010033R,Visible (WJ),Utah,Aries Global,Ground,doTERRA Alaska,Alaska,Alaska,23-Sep,Visible (WJ),1,$306.06 
30-Sep, 4800010189R  ,Visible (WJ),Utah,Trans-Expedite,Air,doTERRA Alaska,Alaska,Alaska,1-Oct,Visible (WJ),1,"$1,010.80 "
17-Oct,4800010557R,Visible (WJ),Utah,Trans-Expedite,Air,doTERRA Alaska,Alaska,Alaska,18-Oct,Visible (WJ),1,"$1,600.00 "
18-Sep,4900003687R,Visible (WJ),Utah,Scott Johnson/Carlile ,Ground,doTERRA Alaska,Alaska,Alaska,25-Sep,Visible (WJ),16,"$1,820.47 "
12-Sep,4800009936R,Visible (WJ),Utah,Scott Johnson,Ground,doTERRA Alaska,Alaska,Alaska,22-Sep,Visible (WJ),16,"$2,300.00 "
1-Jul,4500005966,CasePak,Utah,Scott Johnson,Ground,PakLabs,California,West,3-Jul,Kristin HIrst,18,"$1,100.00 "
7-Aug,CasePak08072019,CasePak,Utah,Aries Global,Ground,Paklabs,California,West,9-Aug,Kristin Hirst,1,$383.97 
16-Aug,4500007423,CasePak,Utah,Scott Johnson,Ground,Paklabs,California,West,19-Aug,Kristin Hirst,22,"$1,000.00 "
24-Jun,BF06242019,Doterra Mfg,Utah,GlobalTranz,Ground,Best Formulation,California,West,26-Jun,Nathan Davis,1,$131.73 
12-Aug,BF08122019,Doterra Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,14-Aug,Cameron Riel,1,$136.01 
27-Sep,BF09272019,Doterra Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,30-Sep,Nathan Davis,1,$138.19 
23-Oct,BF10232019,doTERRA Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,24-Oct,Nathan Davis,1,$138.19 
6-Nov,BF110619,doTERRA Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,8-Nov,Nathan Davis ,1,$138.19 
7-Aug,BF08072019,Doterra Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,9-Aug,Cameron Riel,1,$161.59 
4-Oct,BF10042019,doTerra Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,8-Oct,Cameron Riel,1,$193.66 
17-Oct,4500011877,doTERRA Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,21-Oct,Nathan Davis,1,$236.92 
31-Oct,BF10312019,doTERRA Mfg,Utah,GlobalTranz,Ground,Best Formulations,California,West,4-Nov,Nathan Davis,1,$274.85 
21-Aug,4500011103,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,23-Aug,Cameron Riel,1,$361.92 
29-May,83668203,Doterra Mfg,Utah,GlobalTranz,,Best Formulations,California,West,31-May,Nathan Davis,2,$374.96 
11-Jul,4500010653/4500010651,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,15-Jul,Nathan Davis,2,$407.57 
2-Jul,4500010771,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,5-Jul,Nathan Davis,2,$457.32 
14-Aug,4500011081,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,19-Aug,Cameron Riel,1,$503.32 
25-Jul,4500010653,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,29-Jul,Nathan Davis,2,$598.43 
1-Aug,BF08012019,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,5-Aug,Cameron Riel,3,$976.11 
10-Jun,BF06102019,Doterra Mfg,Utah,Aries Global,Ground,Best Formulations,California,West,12-Jun,Nathan Davis,2,$985.50 
12-Jul,4500010369,Doterra Mfg,Utah,Aries Global,Ground,Captek ,California,West,16-Jul,Nathan Davis,1,$447.21 
2-Aug,CAP08022019,Doterra Mfg,Utah,GlobalTranz,Ground,Captek Softgels,California,West,6-Aug,Nathan Davis,1,$164.16 
4-Jun,4500010369,Doterra Mfg,Utah,GlobalTranz,Ground,Captek Softgels,California,West,6-Jun,Nathan Davis,1,$226.15 
23-Oct,Captek10232019,doTERRA Mfg,Utah,GlobalTranz,Ground,Captek Softgels,California,West,25-Oct,Cameron Riel,1,$236.92 
9-Aug,4500011083,Doterra Mfg,Utah,Aries Global,Ground,Captek Softgels,California,West,13-Aug,Cameron Riel,1,$331.43 
24-Sep,CLA09242019,Doterra Mfg,Utah,GlobalTranz,Ground,CLA,California,West,26-Sep,Shelly Carly,1,$138.19 
21-Oct,CLA10212019,doTERRA Mfg,Utah,GlobalTranz,Ground,CLA,California,West,23-Oct,Nathan Davis,1,$138.19 
10-Oct,CLA10102019,doTerra Mfg,Utah,GlobalTranz,Ground,CLA,California,West,14-Oct,Shelly Carly,1,$185.83 
12-Jul,CLA07122019,Doterra Mfg,Utah,Aries Global,Ground,CLA,California,West,15-Jul,Nathan Davis,1,$207.81 
16-Sep,CLA09162019,Doterra Mfg,Utah,GlobalTranz,Ground,CLA,California,West,18-Sep,Shelly Carly,1,$236.32 
15-Aug,4500010211,Doterra Mfg,Utah,GlobalTranz,Ground,CLA,California,West,19-Aug,Shelly Carly,1,$242.04 
