date,location,win_loss,points_scored,points_against,avg_temperature
8/28/14,"Salt Lake City, Utah",W,56,14,71.1
9/6/14,"Salt Lake City, Utah",W,59,27,72.9
9/20/14,"Ann Arbor, Michigan",W,26,10,64.6
9/27/14,"Salt Lake City, Utah",L,27,28,59.9
10/4/14,"Los Angeles, California",W,30,28,76.1
10/16/14,"Corvallis, Oregon",W,29,23,58.1
10/25/14,"Salt Lake City, Utah",W,24,21,67.5
11/1/14,"Tempe, Arizona",L,16,19,75.5
11/8/14,"Salt Lake City, Utah",L,27,51,47.4
11/15/14,"Stanford, California",W,20,17,54.6
11/22/14,"Salt Lake City, Utah",L,10,42,41.6
11/29/14,"Boulder, Colorado",W,38,34,57.9
12/20/14,"Las Vegas, Nevada",W,45,10,47
9/3/15,"Salt Lake City, Utah",W,24,17,59.3
9/11/15,"Salt Lake City, Utah",W,24,14,69
9/19/15,"Fresno, California",W,45,24,76.6
9/26/15,"Eugene, Oregon",W,62,20,59.4
10/10/15,"Salt Lake City, Utah",W,30,24,68.1
10/17/15,"Salt Lake City, Utah",W,34,18,64.8
10/24/15,"Los Angeles, California",L,24,42,74.5
10/31/15,"Salt Lake City, Utah",W,27,12,54.9
11/7/15,"Seattle, Washington",W,34,23,52.3
11/14/15,"Tucson, Arizona",L,30,37,62
11/21/15,"Salt Lake City, Utah",L,9,17,32.4
11/28/15,"Salt Lake City, Utah",W,20,14,26.1
12/19/15,"Las Vegas, Nevada",W,35,28,44.8
9/1/16,"Salt Lake City, Utah",W,24,0,82.5
9/10/16,"Salt Lake City, Utah",W,20,19,66.1
9/17/16,"San Jose, California",W,34,17,68.7
9/23/16,"Salt Lake City, Utah",W,31,27,49
10/1/16,"Berkeley, California",L,23,28,61.2
10/8/16,"Salt Lake City, Utah",W,36,23,54.8
10/15/16,"Corvallis, Oregon",W,19,14,56
10/22/16,"Pasadena, California ",W,52,45,70
10/29/16,"Salt Lake City, Utah",L,24,31,63.2
11/10/16,"Tempe, Arizona",W,49,26,72.5
11/19/16,"Salt Lake City, Utah",L,28,30,49.4
11/26/16,"Boulder, Colorado",L,22,27,38.4
11/28/16,"Santa Clara, California",W,26,24,52.9
8/31/17,"Salt Lake City, Utah",W,37,16,78.2
9/9/17,"Provo, Utah",W,19,13,66.7
9/16/17,"Salt Lake City, Utah",W,54,16,57.2
9/22/17,"Tucson, Arizona",W,30,24,80.9
10/7/17,"Salt Lake City, Utah",L,20,23,61.6
10/14/17,"Los Angeles, California",L,27,28,67.4
10/21/17,"Salt Lake City, Utah",L,10,30,46.9
10/28/17,"Eugene, Oregon",L,20,41,47.3
11/3/17,"Salt Lake City, Utah",W,48,17,58.4
11/11/17,"Salt Lake City, Utah",L,25,33,44.4
11/18/17,"Seattle, Washington",L,30,33,47
11/25/17,"Salt Lake City, Utah",W,34,13,48.5
12/26/17,"Dallas, Texas",W,30,14,39.8
8/30/18,"Salt Lake City, Utah",W,41,10,79.5
9/8/18,"Dekalb, Illinois",W,17,6,63.4
9/15/18,"Salt Lake City, Utah",L,7,21,79.2
9/29/18,"Pullman, Washington",L,24,28,54.9
10/6/18,"Stanford, California",W,40,21,64.4
10/12/18,"Salt Lake City, Utah",W,42,10,47.9
10/20/18,"Salt Lake City, Utah",W,41,28,53.8
10/26/18,"Pasadena, California ",W,41,10,72.2
11/3/18,"Tempe, Arizona",L,20,38,68.9
11/10/18,"Salt Lake City, Utah",W,32,25,37.7
11/17/18,"Boulder, Colorado",W,30,7,27.5
11/24/18,"Salt Lake City, Utah",W,35,27,35.8
11/30/18,"Santa Clara, California",L,3,10,54.5
12/31/18,"San Diego, California",L,20,31,57.3
8/29/19,"Provo, Utah",W,30,12,83
9/7/19,"Salt Lake City, Utah",W,35,17,75.4
9/14/19,"Salt Lake City, Utah",W,31,0,72
9/20/19,"Los Angeles, California",L,23,30,70.7
9/28/19,"Salt Lake City, Utah",W,38,13,57.5
10/12/19,"Corvallis, Oregon",W,52,7,54.6
10/19/19,"Salt Lake City, Utah",W,21,3,43.6
10/26/19,"Salt Lake City, Utah",W,35,0,48.3
11/2/19,"Seattle, Washington",W,33,28,51
